Matrix	Treatment	Day	Sample ID	SRA Accession Number	Number of Reads x 1e6
Manure	Baseline	0	SC1_A33_S33_L005	SRR8931217	34.2
Manure	Baseline	0	SC2_A34_S34_L005	SRR8931218	41.9
Manure	Baseline	0	SC3_A35_S35_L005	SRR8931219	42.8
Manure	Baseline	0	SC4_A36_S36_L005	SRR8931220	35.5
Effluent	Manure-amended	10	SC5_A37_S37_L005	SRR8931213	38.2
Effluent	Manure-amended	10	SC6_A38_S38_L005	SRR8931214	44.0
Effluent	Manure-amended	10	SC7_A39_S39_L005	SRR8931215	33.7
Effluent	Manure-amended	10	SC8_A40_S40_L005	SRR8931216	38.8
Effluent	Manure-amended	38	SC9_A41_S41_L006	SRR8931210	32.4
Effluent	Manure-amended	38	SC10_A42_S42_L006	SRR8931211	28.4
Effluent	Manure-amended	38	SC11_A43_S43_L006	SRR8931237	43.7
Effluent	Manure-amended	38	SC12_A44_S44_L006	SRR8931238	44.1
Effluent	Manure-amended	80	SC13_A45_S45_L006	SRR8931239	41.0
Effluent	Manure-amended	80	SC14_A46_S46_L006	SRR8931240	39.0
Effluent	Manure-amended	80	SC15_A47_S47_L006	SRR8931241	39.3
Effluent	Manure-amended	80	SC16_A48_S48_L006	SRR8931242	33.7
Effluent	Unamended	24	SC17_A49_S49_L007	SRR8931243	38.9
Effluent	Unamended	24	SC18_A50_S50_L007	SRR8931244	45.5
Effluent	Unamended	24	SC19_A51_S51_L007	SRR8931229	37.9
Effluent	Unamended	24	SC20_A52_S52_L007	SRR8931230	39.1
Effluent	Unamended	59	SC21_A53_S53_L007	SRR8931200	43.6
Effluent	Unamended	59	SC22_A54_S54_L007	SRR8931199	46.7
Effluent	Unamended	59	SC23_A55_S55_L007	SRR8931202	26.5
Effluent	Unamended	59	SC24_A56_S56_L007	SRR8931201	35.5
Effluent	Manure-amended	59	SC25_A57_S57_L008	SRR8931196	28.6
Effluent	Manure-amended	59	SC26_A58_S58_L008	SRR8931195	30.2
Soil	Manure-amended	24	SC27_A59_S59_L008	SRR8931198	40.2
Soil	Manure-amended	24	SC28_A60_S60_L008	SRR8931197	37.8
Soil	Manure-amended	59	SC29_A61_S61_L008	SRR8931207	44.2
Soil	Manure-amended	59	SC30_A62_S62_L008	SRR8931206	40.6
Soil	Manure-amended	108	SC31_A63_S63_L008	SRR8931235	33.7
Soil	Manure-amended	108	SC32_A64_S64_L008	SRR8931236	40.4
Effluent	Unamended	108	SC33_AH01_S13_L002	SRR8931233	32.6
Effluent	Unamended	108	SC34_AH02_S14_L002	SRR8931234	23.7
Effluent	Unamended	108	SC35_AH03_S15_L002	SRR8931231	38.3
Effluent	Unamended	108	SC36_AH04_S16_L002	SRR8931232	36.5
Effluent	Manure-amended	24	SC38_AH05_S9_L006	SRR8931194	8.4
Effluent	Manure-amended	24	SC37_AH06_S10_L006	SRR8931193	50.1
Effluent	Manure-amended	24	SC39_AH07_S11_L006	SRR8931190	10.5
Effluent	Manure-amended	24	SC40_AH08_S12_L006	SRR8931212	11.2
Effluent	Manure-amended	59	SC41_AH09_S13_L006	SRR8931222	10.6
Effluent	Manure-amended	59	SC42_AH10_S14_L006	SRR8931208	9.7
Effluent	Manure-amended	108	SC43_AH13_S17_L002	SRR8931192	39.0
Effluent	Manure-amended	108	SC44_AH14_S18_L002	SRR8931189	36.8
Effluent	Manure-amended	108	SC45_AH15_S19_L002	SRR8931221	40.1
Effluent	Manure-amended	108	SC46_AH16_S20_L002	SRR8931203	41.8
Soil	Baseline	0	SC47_AH17_S17_L006	SRR8931209	11.1
Soil	Baseline	0	SC48_AH18_S18_L006	SRR8931191	11.8
Soil	Baseline	0	SC49_AH19_S19_L006	SRR8931205	11.8
Soil	Baseline	0	SC50_AH20_S20_L006	SRR8931204	11.9
Soil	Manure-amended	24	SC51_AH21_S25_L006	SRR8931225	9.1
Soil	Manure-amended	24	SC52_AH24_S28_L006	SRR8931226	10.1
Soil	Manure-amended	59	SC53_AH25_S29_L006	SRR8931227	9.1
Soil	Manure-amended	59	SC54_AH28_S32_L006	SRR8931228	9.4
Soil	Manure-amended	108	SC55_AH29_S21_L006	SRR8931223	14.7
Soil	Manure-amended	108	SC56_AH32_S24_L006	SRR8931224	12.0